date,time,name,staff,room,instructor,description
"Monday, April 14",7:15 PM – 8:45 PM EDT,Basic CONTEMP JAZZ with Stacie Webster,Stacie Webster,Room:Studio A,Stacie Webster,"Stacie's class draws from Contemporary, Jazz, and Modern dance styles with a focus on strengthening and conditioning the body. The class emphasizes technique, artistry, and athleticism."
"Monday, April 14",7:15 PM – 8:45 PM EDT,Beg COMMERCIAL JAZZ with Debbie Wilson,Debbie Wilson,Room:Studio 3,Debbie Wilson,2-5 years trainingBasic understanding of discipline and general dance terminology
"Monday, April 14",7:15 PM – 8:45 PM EDT,Basic HIP-HOP with Angel Kaba,Angel Kaba,Room:Studio 2,Angel Kaba,"This class will explore the social dance aspect of Hip-Hop focusing on rhythms, foundation, culture, and choreography. The class starts off with a warm-up by stretching out the body, followed by exercises and drills, focusing on groove, musicality, freestyle, and sometimes some history of Hip-Hop culture. The most important aspect of this class is DANCE, learning or relearning how to dance and take a dance class, in opposition to only executing Hip-Hop steps, and choreographies. Angel will support you to focus on yourself, your groove, your musicality, and your ability to move your body. This class is suitable for beginners and dance enthusiasts, as well as professionals and more advanced dancers who are looking to just vibe and enjoy a fun class!"
"Monday, April 14",7:15 PM – 8:45 PM EDT,Int Adv STREET JAZZ with Keenan Cooks,Keenan Cooks,Room:Studio 5,Keenan Cooks,"As a lover of the art of performing, Keenan Cooks' class focuses on enhancing performance quality and dancing beyond the classroom. In each class he pushes students to not only let go and be vulnerable, but to find ways the movement and music relate to situations in their everyday life.Class will start with a warm-up that includes cardio, as well as basic Hip-Hop grooves that can be found throughout Keenan’s choreography. While learning the choreography in class, you will be pushed to incorporate individuality, acting, precision, and musicality. Keenan’s classes are HIGH ENERGY so be ready to sweat!"
"Monday, April 14",8:45 PM – 10:15 PM EDT,Int CONTEMP FUSION with Camryn Brothers,Camryn Brothers,Room:Studio A,,"Class is designed to allow each student to feel comfortable with their individual artistic voice. We will begin with a warm up that incorporates improvisational exercises to awaken both the body and mind. Choreography is taught with the intention of training the ears as much as the body, paying close attention to musicality. Camryn’s goal is to create an honest and judgement free environment, and have each student leave the classroom feeling full."
"Monday, April 14",8:45 PM – 10:15 PM EDT,Basic JAZZ with Cara Leggio,Cara Leggio,Room:Studio 4,,"Cara's classes focus on technique; building strength and coordination, as well as artistry; finding your own unique style and POV.In Jazz class, you will start with light cardio to get the body moving and warm, move through a technical warm up, stretching, and core conditioning, before moving to a turn drill, progressions across the floor, and a short combo to tie everything together. This class is definitely for your inner technician, working to level up your skill and craft. Whether brand new to dance or a professional, this class will both challenge and inspire you to improve your foundation while finding moments of joy celebrating movement!"
"Monday, April 14",9:00 PM – 10:30 PM EDT,Beg HEELS with Courtney Sauls,Courtney Sauls,Room:Studio 3,Courtney Sauls,2-5 years trainingBasic understanding of discipline and general dance terminology
"Monday, April 14",9:00 PM – 10:30 PM EDT,All Levels COMMERCIAL HIP-HOP with Jeffry Amado Hiraldo,Jeffry Amado Hiraldo,Room:Studio 5,,"Hip-hop commercial dance, also known as urban dance, is a style of dancethat is high energy, precise, and rhythmic, and is inspired by streetdance. It is a prominent style of commercial dance, which is a broadcategory of dance that includes many styles, such as hip-hop, jazz. It also astyle of dance that is designed to be performed in front of an audience,such as music videos, concerts, films, musical theater, TV show and so on."
"Tuesday, April 15",9:00 AM – 10:30 AM EDT,Basic THEATER with Melodye Redding,Trent Soyster (substitute),Room:Studio 3,,1-2 years trainingSome prior knowledge of dance terminology
"Tuesday, April 15",9:00 AM – 10:30 AM EDT,Basic CONTEMPORARY with Lorena Cobos,Lorena Cobos,Room:Studio 4,Lorena Cobos,"Class usually begins with a cardio (grooves), mobility and technique filled warm-up. Followed by some movement exploration, floorwork exercises, and then a combination that was correlated to the warm up. I am a strong believer in mind muscle connection and like to prepare the body to facilitate the execution of movement given. Together the goal is to create a safe space for self-discovery, storytelling, movement exploration and a fun exchange of energy."
"Tuesday, April 15",9:00 AM – 10:30 AM EDT,Basic BALLET with Cara Leggio,Cara Leggio,Room:Studio 1,,"Cara's ballet classes focus on technique, building strength and coordination, and artistry, finding your own unique style and POV. Dancers have been coming to the barre and practicing these exercises for generations, in this class you can feel like you are coming to this sacred ritual in a safe and encouraging space that celebrates this rich history while making space for the now. Cara’s class will always take you through a full class, from plie to grand allegro. Whether brand new to dance or a professional, this class will both challenge and inspire you to improve your foundation while finding moments of joy celebrating movement!"
"Tuesday, April 15",9:15 AM – 10:30 AM EDT,All Levels YOGA AND MEDITATION with Lauren Marsaglia,Lauren Marsaglia,Room:Studio 2,,"At its core, the physical practice of yoga exists to exhaust the body and prepare the mind to mediate: to find a place of stillness and clarity in our inner-being. Dancers will enter this spiritual practice and feel how yoga allows for a deeper sense of acceptance and surrendering to our experiences. With practice, this sensation will bleed into how we reimagine our bodies working for us in dance. The traditional style of Vinyasa yoga initiates from the breath into movement, which can be a transformative experience for the dancer as we begin to move from our parasympathetic nervous system. In the physical body, yoga creates a deeper sense of balance, stability, and body awareness. During practice, modifications are always offered to beginning students. Similarly, more challenging variations are given to those with more experience along their journeys. Ultimately, this class surrounds itself with the idea of transformation and how we can carry our practice off of our mats and into the world!"
"Tuesday, April 15",10:30 AM – 12:00 PM EDT,Int JAZZ FUSION with Michelle Barber,Michelle Barber,Room:Studio 4,Michelle Barber,"Michelle’s classes begin with a warm-up designed to get you focused, balanced and ready to dance. Paying attention to technique, strength and breath, the warm-up will guide students in improving their skills as dancers during the combinations. A certified Pilates instructor and yogi, Michelle incorporates this fundamental knowledge of the body into all aspects of her class. Rather than be limited by one style of dance, Michelle prefers to let the music guide her when creating her movement. Her choreography is therefore a fusion of many styles of jazz dance as well as her own brand of movement. With over 30 years of experience, Michelle has developed a style uniquely her own. To see more of her work, follow her on Instagram @michellebarberdance"
"Tuesday, April 15",10:30 AM – 12:00 PM EDT,Adv Beg CONTEMPORARY with Eric Campros,Alex Mitchell (substitute),Room:Studio 3,,"Class will begin with a Horton and ballet-based warm-up designed to enhance technique, strength, and alignment. Working across the floor, dancers will learn to more effectively take up space, move with conviction, and instill clarity into their movement. Phrase work will focus on musicality and freedom of movement while maintaining strong technique, all offered in a supportive and positive environment. Eric encourages taking risks, both physical and emotional, to further develop individual style. Dancers will be encouraged to let go of expectations and judgment, allowing their artistry to be their voice."
"Tuesday, April 15",10:30 AM – 12:00 PM EDT,Adv Beg THEATER with Jason Wise,Jason Wise,Room:Studio 1,Jason Wise,"By focusing on presentation and performance, dancers will deepen their understanding of executing a Broadway production number with precision, style, and flair. They will cultivate essential qualities such as musicality, discipline, and showmanship, effectively showcasing their talents and shining in auditions. This unique experience introduces styles and techniques inspired by legendary pioneers of theatrical dance and emphasizes teamwork and collaboration, mirroring the professional rehearsal process, ultimately offering dancers the skills and confidence needed to thrive as a professional dancer in the Musical Theater."
"Tuesday, April 15",10:30 AM – 12:00 PM EDT,Adv Beg TAP with Dre Torres,Dre Torres,Room:Studio B,,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Tuesday, April 15",10:30 AM – 12:00 PM EDT,Adv Beg HIP-HOP with Dr.Ew,Dr. Ew,Room:Studio 5,,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Tuesday, April 15",10:30 AM – 12:00 PM EDT,Beg BALLET with Josh Kolberg,Josh Kolberg,Room:Studio A,Josh Kolberg,"Josh aims to create an engaging environment where both professional and recreational dancers alike can thrive. He believes that encouragement is the key to allowing dancers to achieve their fullest potential as technicians and artists.A 40 minute barre focuses on proper placement and precise execution followed by center work with an emphasis on musicality and the coordination of timing and movement.
This class is a mix of Vaganova, French, and Balanchine technique. Ballet slippers are required and dancers may choose to wear pointe shoes if they like."
"Tuesday, April 15",10:30 AM – 12:00 PM EDT,Beg JUMPS AND TURNS with Blue,Blue,Room:Studio 2,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Tuesday, April 15",12:00 PM – 1:30 PM EDT,Adv Beg BALLET with Dorit Koppel,Dorit Koppel,Room:Studio 1,Dorit Koppel,"Dorit's class is designed for students who already understand and are able to execute the vocabulary of ballet. Emphasis is placed on proper alignment, correct direction of all movements, and mostly on musicality, phrasing and transitions (connecting one movement to another). This class is not exclusive to ballet dancers; it benefits students who come from diversified dance backgrounds."
"Tuesday, April 15",12:00 PM – 1:30 PM EDT,Beg BROADWAY JAZZ with Sue Samuels,Sue Samuels,Room:Studio A,Sue Samuels,2-5 years trainingBasic understanding of discipline and general dance terminology
"Tuesday, April 15",12:00 PM – 1:30 PM EDT,Beg TAP with Doug Shankman,Doug Shankman,Room:Studio B,Doug Shankman,"Doug believes that the tap artist is both a dancer and musician. Classes are fun, energized, and challenging. Classes will build a strong technique in the fundamental principles of tap dancing."
"Tuesday, April 15",12:00 PM – 1:30 PM EDT,Adv Beg CONTEMP JAZZ with Tracie Stanfield,Tracie Stanfield,Room:Studio 3,Tracie Stanfield,"Dancers will work on flexibility, strength, range and ease of movement, and building/maintaining technique. Working from a strong center, dancers move through the class finding freedom in the use of torso and limbs, a sense of dynamics and initiation of movement, and a balance of breath and control.Born from a foundation in ballet, the warm-up is created to be a combination of traditional stretching, center barre, and full-bodied movement. The class focuses on allowing each dancer to work to their fullest potential, using technique to allow for efficient and effective communication within the choreography. Whether working in lyrical, contemporary, or traditional jazz combinations, dancers are challenged to become magnetic and confident performers.
ELEMENTS: a leaps, turns, floor work class focusing on strength and technique of leaps and turns, while developing ease of transitions and confidence with floor work. ELEMENTS gives dancers an opportunity to move through the elements of dance and to progress from exercises to choreography.
Class begins with a warm-up for core strength, body awareness and flexibility. The class moves across the floor with progressions to build skill and understanding of leaps, turns, and floor work. Dancers will learn a short combination of these elements, putting it all together in a seamless and fluid sequence."
"Tuesday, April 15",12:00 PM – 1:30 PM EDT,Beg THEATER with Jennifer Turey,Jennifer Turey,Room:Studio 4,,"Jen’s training and performance experience encompasses a wide range of styles and instructors and she brings that experience to her classes and choreography. Classes will blend exercises in ballet, modern, and jazz to build strength, stamina, body placement and alignment awareness. Progressions across the floor will encourage personal performance choices, confidence, and traveling through space. Combinations will focus on style, musicality, and developing one’s artistic voice. Creating a safe space in which dancers are able to take risks, to find what works individually, to bond as a community, and to let go of expectations is of utmost importance. Dancers are encouraged to be present, work past their maximum, and take pride in their accomplishments."
"Tuesday, April 15",12:15 PM – 1:45 PM EDT,Beg HOUSE with Huu Rock,Huu Rock,Room:Studio 5,,"House is a feeling. In this House Dance class you will learn to feel the music, developing a connection between your movements, the melody and the rhythm. Following a brief warmup, we will break down the fundamentals of House dance: skating, heel toe jack, shuffle and dodge, stomping, the swirl, the train, etc; basic steps that you can take right to the dance floor. Students will then be taught a short routine that stitches it all together. As I always say in my classes: the goal is to have fun, don’t worry about getting it right, just find yourself in the music."
"Tuesday, April 15",12:15 PM – 1:45 PM EDT,Basic HIP-HOP/STREET JAZZ with Hugo Brument,Hugo Brument Scuderi,Room:Studio 2,,"Join Hugo for an energetic and dynamic Street Jazz & Hip-Hop class where he guides you through building strong fundamentals in hip-hop, groove, and various street styles. Hugo’s carefully crafted combos are challenging yet fun, designed to help you refine your musicality using a mix of commercial and hip-hop tracks. With his passion and encouraging teaching style, Hugo ensures a welcoming and supportive atmosphere, so every dancer can feel confident, inspired, and perform their best!"
"Tuesday, April 15",1:45 PM – 3:15 PM EDT,Basic BALLET with Dorit Koppel,Dorit Koppel,Room:Studio 1,Dorit Koppel,"""The foundation for all dance forms."" This class is designed for the beginner student who wishes to learn and work slowly on the fundamentals of Classical Ballet. Vocabulary will be broken down and emphasis will be placed on understanding proper placement, coordination, musicality and the joy of moving the body in space.Please wear proper attire."
"Tuesday, April 15",1:45 PM – 3:15 PM EDT,Beg JAZZ with Heather Rigg,Heather Rigg,Room:Studio A,Heather Rigg,2-5 years trainingBasic understanding of discipline and general dance terminology
"Tuesday, April 15",1:45 PM – 3:15 PM EDT,All Levels VOICE with Eric Fotre Leach,Eric Fotre Leach,Room:Studio 4,,"Eric’s philosophy has always been that singing is a lifelong practice. Whether you’re a dancer who’s ready to sing more, or a seasoned professional with roles already under your belt, the art of technique, phrasing, and storytelling through song is a craft that must be maintained. Each of these relaxed (but focused) group classes come in three acts. The first is always an extensive breathing and vocal warmup that stretches and expands both the physical and mental relationship to your voice. The second act is ever changing and trains you on various important music theatre topics like holding harmony, reading music, talking to accompanists, finding and cutting material, musical vocabulary, finding vocal range, and acting through song. And finally the third act of the class will focus on individual’s needs in a ‘masterclass-style’ format. Whether it’s call back material you need to hear with an accompanist or a new song you’ve found you want to try, this time will be evenly distributed for one-on-one attention as others observe and learn in an encouraging atmosphere."
"Tuesday, April 15",1:45 PM – 3:15 PM EDT,Int THEATER TAP with Brent McBeth,Brent McBeth,Room:Studio B,Brent McBeth,8-10 years training
"Tuesday, April 15",2:00 PM – 3:30 PM EDT,Int Adv THEATER with Phil Colgan,Matthew Steffens (substitute),Room:Studio 3,Matthew Steffens,"8-10 years training Phil’s class lives in a cross-section of theatricality, musicality, style/technique, and showmanship. After a jazz-based warm-up structured to engage the body and focus minds, dancers will learn choreography in one of the various styles that musical theater requires of them in the contemporary landscape. Phil aims to help dancers understand how music and its intricacy can inform character and storytelling, all while giving them the space to explore different ways of approaching theater dance—and hopefully having fun on the way."
"Tuesday, April 15",2:00 PM – 3:30 PM EDT,Beg HIP-HOP with Ness Martinez,Ness Martinez,Room:Studio 2,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Tuesday, April 15",2:00 PM – 3:30 PM EDT,Int Adv STREET JAZZ with Bo Park,Bo Park,Room:Studio 5,Bo Park,"Bo wants to give everyone a safe place to learn, grow and feel freedom. The class will be focused on learning how to connect with music, developing musicality based on new style with fundamental hip-hop."
"Tuesday, April 15",3:30 PM – 5:00 PM EDT,Adv Beg TAP with April Cook,Funmi Sofola (substitute),Room:Studio B,,This class is geared towards students with 3-5 years of tap training.
"Tuesday, April 15",3:30 PM – 5:00 PM EDT,Adv Beg BALLET with Yuka Kawazu,Yuka Kawazu,Room:Studio 4,Yuka Kawazu,"This class emphasizes placement, proper classical technique, rhythm and attention to musicality. Students are taught how to improve their instrument through proper barre placement. They are also taught how to move with a strong sense of dynamics. By understanding muscles and placement of their bodies, students refine their technique and learn the subtleties that improve turns, placement, and line."
"Tuesday, April 15",3:30 PM – 5:00 PM EDT,Int CONTEMPORARY with Michaela McGowan,Michaela McGowan,Room:Studio A,Michaela McGowan,8-10 years training
"Tuesday, April 15",3:30 PM – 5:00 PM EDT,Int Adv COMMERCIAL JAZZ with Mike Baerga,Mike Baerga,Room:Studio 1,,8-10 years of training
"Tuesday, April 15",3:45 PM – 5:15 PM EDT,Adv Beg STREET JAZZ with Neil Schwartz,Youlmae Kim (substitute),Room:Studio 5,,"Neil Schwartz’s street jazz class emphasizes musicality, performance, and dynamics, while motivating students to maintain a positive classroom environment. From the warm-up to the class combination, each song is carefully selected to enable each student to focus on body awareness, confidence, and clear execution of movement. Not only will students be challenged physically in the classroom, but also prepared mentally for the outside dance world. This class will encourage students to push past their limits, achieve their desired goals, and know how to have a good time in the process. You never quite know what to expect in class. Come with an open mind, a passion to improve, and the desire to learn more about yourself as an person, artist, and dancer."
"Tuesday, April 15",3:45 PM – 5:15 PM EDT,Beg THEATER with Marjorie Failoni,Amanda LaMotte (substitute),Room:Studio 3,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Tuesday, April 15",3:45 PM – 5:15 PM EDT,All Levels ACRO with Sissa Strain,Sissa Strain,Room:Studio 2,,"Sissa’s acro class is structured with a full body warm up, center exercises, and repeating passes across a tumbling mat. Students will work on balance skills, limbering, and power tumbling preparation focusing on strength, flexibility, and dexterity. As an open level class, students will be given individualized skills appropriate for their level and are encouraged to work at their own pace. Sissa Strain is certified 10+ years to teach acrobatics and tumbling by Dance Masters of America."
"Tuesday, April 15",5:15 PM – 6:45 PM EDT,Adv Beg TAP with Ray Hesselink,Ray Hesselink,Room:Studio B,Ray Hesselink,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Tuesday, April 15",5:15 PM – 6:45 PM EDT,Beg BALLET with Deanna Doyle,Deanna Doyle,Room:Studio 1,,"Deanna's classes focus on both technique and artistry. Proper placement and precise execution of steps are emphasized, as well as the freedom to enjoy the artistry of dance. Deanna creates a safe and welcoming environment for students of all paths, whether they are brushing up on the basics, maintaining their technique, or pursuing ballet as an artistic outlet."
"Tuesday, April 15",5:15 PM – 6:45 PM EDT,Adv Beg CONTEMP JAZZ with Nijawwon Matthews,Nijawwon Matthews,Room:Studio A,Nijawwon Matthews,"Mr. Matthews strives to develop a ritual of intent which encourages exploration and the research of artistic and humanistic expression. This is called the Nijawwon Transitional Method— NTM is charged with an emotional, spiritual, and physical quality to convey confidence and seamless transitional movement to the artists. It encompasses the use of dynamics, textures, and spatial level changes with serpentine fluidity. It is the use of circulation, undulation, and spiral. This allows artists to use their entire body as they continually move through space and weight exchange. As we go across the floor; dancers get the chance to have a structured improv that allows for storytelling, musicality, and athletic movement that start from an intuitive and internal place that then transitions externally and expressively. Finally, Matthews ends with combinations that challenges the dancers to become more informed performers and free themselves from self doubt. Mr. Matthews gives students love, encouragement, and the confidence to trust themselves in the safe space he provides for each artist."
"Tuesday, April 15",5:15 PM – 6:45 PM EDT,Int Adv JAZZ with Robyn Williams,Robyn Williams,Room:Studio 4,,"Robyn Williams' jazz class combines the elements and technique of jazz dance with the focus on performance quality for the TV, film, commercials and camera. With her background spanning across many industry spaces, she looks forward to encouraging the natural star quality in all dancers while honing in on technique and movement quality for versatility in all dance spaces."
"Tuesday, April 15",5:30 PM – 7:00 PM EDT,Adv Beg JAZZ FUNK with Miles Keeney,Miles Keeney,Room:Studio 5,Miles Keeney,"In each class, Miles aims to bring out the absolute best in every student. He's developed a unique Jazz Funk genre that pulls from his training primarily in hip-hop, jazz, contemporary, and modern. His classes cover the full scope of commercial dance and give dancers the necessary tools to maintain their individuality while working in both the context of the choreography, and the industry. His classes focus on performance beyond the classroom and dancers visualizing themselves in their dream dance setting. Students leave class feeling like they have channeled their inner superstars and have tapped into a higher level of performance quality.Class begins with a thorough warmup with isolations, grooves, core work, and jazz-based drills. Then a combination is taught and broken down before ample time is left to execute and perform the choreography."
"Tuesday, April 15",5:30 PM – 7:00 PM EDT,Adv Beg THEATER with Brandon Kelly,Brandon Kelly,Room:Studio 3,,"5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology Brandon cultivates a space of inclusion, inspiration, and empowerment. Class begins with a warm-up that combines technique, strength-building, and dynamics. Followed by progressions that focus on expanding the performer’s range of movement. A final combo encourages storytelling with musicality, elevating students’ confidence, style, and energy."
"Tuesday, April 15",5:30 PM – 7:00 PM EDT,Beg STREET STYLES/HIP-HOP with AntBoogie,Marley Lubin (substitute),Room:Studio 2,,"This class will give you the elements you need to perform on stage. The focus of class is to bring your dancing IQ to a higher level. You will work on choreography, musicality, and your ability to perform. This class will clean your movements, correct bad habits, all while learning fun and energetic routines."
"Tuesday, April 15",7:00 PM – 8:30 PM EDT,Int CONTEMPORARY with Jaclyn Walsh,Jaclyn Walsh,Room:Studio 1,,8-10 years training
"Tuesday, April 15",7:00 PM – 8:30 PM EDT,Basic TAP with Shelby Kaufman,Shelby Kaufman,Room:Studio B,Shelby Kaufman,"Shelby's tap classes are based in technique, with a strong focus on rhythm and musicality. Classes include warm-ups, center floor exercises, progressions across the floor, and combinations varying greatly in style and genre of music. Shelby always provides individual attention and instruction to each dancer and and attempts to create a nonjudgmental and positive environment in every class."
"Tuesday, April 15",7:00 PM – 8:30 PM EDT,Basic BALLET with Sarah Simon Wolff,Sarah Simon Wolff,Room:Studio 4,,1-2 years trainingSome prior knowledge of dance terminology
"Tuesday, April 15",7:00 PM – 8:30 PM EDT,Int JAZZ with Dylan Pearce,Dylan Pearce,Room:Studio A,,8-10 years training
"Tuesday, April 15",7:00 PM – 9:00 PM EDT,BDC Inspire: All Levels TV REP/COMMERCIAL JAZZ with Kat Burns,Kat Burns,Room:Studio 5,Kat Burns,"BDC Inspire: All Levels TV REP/COMMERCIAL JAZZ with Kat Burns
Each student must register and pay individually.There are NO refunds or exchanges for this guest class.This Guest Class is for Ages 13+$30 pre-registration required
Student must be present at the start of class time, or your class will be forfeited."
"Tuesday, April 15",7:15 PM – 8:45 PM EDT,All Levels AFRO DANCE CLASS with Judith McCarty,Judith McCarty,Room:Studio 2,,"This class is built to introduce you to the varied styles that lie in Afro dance through training drills and choreography from sbujway, ndombolo, Azonto, kuduro, and many more African street dance styles. Judith will touch on a different country every class to give you a full understanding on the different flavors in Afro dance. It is open to all levels of dancers; everyone is welcome!"
"Tuesday, April 15",7:15 PM – 8:45 PM EDT,Adv Beg HEELS with Hector Lopez,Hector Lopez,Room:Studio 3,Hector Lopez,"Hector works to establish an environment in which students are building a strong technical foundation and claiming ownership of the information. In doing so, they are able to apply the technique when working and learning other styles.Heels do not only physically elevate you, they instill a sense of power and authority. As an educator, Hector strives to empower his students to fearlessly be themselves rather than assume an alter ego."
"Tuesday, April 15",8:45 PM – 10:15 PM EDT,Int CONTEMP FUSION with Maleek Washington,Maleek Washington,Room:Studio A,Maleek Washington,"Maleek's class focuses on reeducating the body to enhance our human aspects, and creating an atmosphere to be versatile in any given situation. Maleek's movement and combinations range from Contact Improvisation to Contemporary Fusion with a Hip-Hop flare. Students will learn how to tell a vivid story with their body. The class includes a range of structured formatted movement, improvisation, floor work and dynamics centered around making strong movement choices. Maleek leads the class into an investigation of each individual's qualities by integrating acting skills to help dive deeper into a sense of self, and to create well-rounded performers and artists"
"Tuesday, April 15",9:00 PM – 10:30 PM EDT,All Levels CABARET BURLESQUE with Nathalie Marrable,Sarah Tracy (substitute),Room:Studio 3,,"Nathalie's Burlesque class is inspired by Parisian cabarets such as Lido and Crazy Horse. Using her experience as a solo burlesque act in Europe, Nathalie teaches the unique and classy art of striptease. Warmup includes showgirl walks, getting comfortable with lyrical floor work, and using props such as gloves and chairs. Choreography is usually theatrical as students are encouraged to create ""their own show"". There are no wrong choices, only solos! This is a safe and empowering environment in which to experiment with the art of stylized striptease. Bring an oversized button down shirt and dress in whatever makes you feel fabulous. Heels are recommended. Class is appropriate for those with or without dance experience and gender-inclusive. Everyone is welcome!"
"Tuesday, April 15",9:00 PM – 10:30 PM EDT,Int Adv HIP-HOP with Deshawn Da Prince,TBA (substitute),Room:Studio 5,,8-10 years training
"Tuesday, April 15",9:00 PM – 10:30 PM EDT,"All Levels REGGAETON with Jonathan ""Shwing"" Pena","Jonathan ""Shwing"" Pena",Room:Studio 2,,"Reggaeton fuses elements and accents of Dancehall, Afro and Hiphop to produce complex and intricate latin combinations that highlight commercial, latin trap, and fusion which all fall under the umbrella of the Urban Latin Industry."
"Wednesday, April 16",9:00 AM – 10:30 AM EDT,Basic BALLET with Adriana Pierce,Adriana Pierce,Room:Studio 1,,"Adriana's ballet classes are rooted in Balanchine technique, emphasizing coordination, musicality, and movement quality—all of which benefit dancers of any style. She is committed to fostering an inclusive and respectful studio environment, using non-gendered language and promoting a body-positive approach to athleticism."
"Wednesday, April 16",10:30 AM – 12:00 PM EDT,Beg BALLET with Michele Moreno,Michele Moreno,Room:Studio 1,Michele Moreno,"Michele's beginner ballet class is structured for students with basic ballet knowledge and different dance backgrounds. All exercises are combined to improve control, coordination, musicality, and technique. The 90-minute full ballet class includes barre warmup, turns, jumps, and different combinations at the center and across-the-floor."
"Wednesday, April 16",10:30 AM – 12:00 PM EDT,Basic THEATER with Melodye Redding,Sarah Crane (substitute),Room:Studio 3,,1-2 years trainingSome prior knowledge of dance terminology
"Wednesday, April 16",10:30 AM – 12:00 PM EDT,Adv Beg HIP-HOP with Paolo Penala,Paolo Slice Penala,Room:Studio 5,,"Class begins with a long hip-hop foundational warm up. No matter the level, foundations along with variations will be used to wake up the body, prepare for choreography, and establish building blocks for freestyle. Class will continue by applying the foundations from warm up along with it’s variations to choreography and connection to music. Class is a safe space to grow in movement, vocabulary, and performance quality."
"Wednesday, April 16",10:30 AM – 12:00 PM EDT,Adv Beg TAP with Dre Torres,Dre Torres,Room:Studio B,,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Wednesday, April 16",10:30 AM – 12:00 PM EDT,Int CONTEMP FUSION with Maleek Washington,Michaela McGowan (substitute),Room:Studio A,Michaela McGowan,"Maleek's class focuses on reeducating the body to enhance our human aspects, and creating an atmosphere to be versatile in any given situation. Maleek's movement and combinations range from Contact Improvisation to Contemporary Fusion with a Hip-Hop flare. Students will learn how to tell a vivid story with their body. The class includes a range of structured formatted movement, improvisation, floor work and dynamics centered around making strong movement choices. Maleek leads the class into an investigation of each individual's qualities by integrating acting skills to help dive deeper into a sense of self, and to create well-rounded performers and artists"
"Wednesday, April 16",10:30 AM – 12:00 PM EDT,All Levels STRENGTH AND FLEXIBILITY with Kristi Tartaglione,Kristi Tartaglione,Room:Studio 2,,"Class is a blend of strength, stretch, and breathwork to find a deeper mind-body connection to help dancers understand the physical and energetic mechanics of the body. Focusing on stability, weight shifts, mobility, active stretch, and recovery. We’ll work to target the muscles that counteract traditional training to keep dancers healthy and supported, throughout their career. Longevity is the name of the game, and this class offers an approach to dance training that marries artistic expression with anatomical expertise."
"Wednesday, April 16",12:00 PM – 1:30 PM EDT,Adv Beg CONTEMP LYRICAL with Tracie Stanfield,Tracie Stanfield,Room:Studio A,Tracie Stanfield,"Dancers will work on flexibility, strength, range and ease of movement, and building/maintaining technique. Working from a strong center, dancers move through the class finding freedom in the use of torso and limbs, a sense of dynamics and initiation of movement, and a balance of breath and control.Born from a foundation in ballet, the warm-up is created to be a combination of traditional stretching, center barre, and full-bodied movement. The class focuses on allowing each dancer to work to their fullest potential, using technique to allow for efficient and effective communication within the choreography. Whether working in lyrical, contemporary, or traditional jazz combinations, dancers are challenged to become magnetic and confident performers.
ELEMENTS: a leaps, turns, floor work class focusing on strength and technique of leaps and turns, while developing ease of transitions and confidence with floor work. ELEMENTS gives dancers an opportunity to move through the elements of dance and to progress from exercises to choreography.
Class begins with a warm-up for core strength, body awareness and flexibility. The class moves across the floor with progressions to build skill and understanding of leaps, turns, and floor work. Dancers will learn a short combination of these elements, putting it all together in a seamless and fluid sequence."
"Wednesday, April 16",12:00 PM – 1:30 PM EDT,Beg THEATER TAP with Doug Shankman,Danielle Jackman (substitute),Room:Studio B,Danielle Jackman,"Doug believes that the tap artist is both a dancer and musician. Classes are fun, energized, and challenging. Classes will build a strong technique in the fundamental principles of tap dancing."
"Wednesday, April 16",12:00 PM – 1:30 PM EDT,Int Adv JAZZ with Dougie Robbins,Dougie Robbins,Room:Studio 4,,8-10 years of trianing
"Wednesday, April 16",12:15 PM – 1:45 PM EDT,Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Room:Studio 1,Natalya Stavro,"This class is a fresh and open approach to the study of traditional ballet vocabulary. Emphasis is placed on coordination, placement, flexibility, technique and strength. Musicality is stressed along with a strong sense of performance style. Students in class will move more freely and dance with grace and confidence."
"Wednesday, April 16",12:15 PM – 1:45 PM EDT,Beg JAZZ FUNK with Chio,Chio,Room:Studio 5,Chio,"2-5 years trainingBasic understanding of discipline and general dance terminology. This is a hot jazz class peppered with street, funk, and Hip-Hop. Students should have a basic understanding of the jazz technique. The warm-up is designed to strengthen the students ability to adopt jazz and funk movement."
"Wednesday, April 16",12:15 PM – 1:45 PM EDT,Adv Beg THEATER with Ian Klein,Ian Klein,Room:Studio 2,Ian Klein,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Wednesday, April 16",12:15 PM – 1:45 PM EDT,Beg HEELS with Mishay Petronelli,Mishay Petronelli,,,2-5 years trainingBasic understanding of discipline and general dance terminology
